id,country,currency
1,AD,EUR
2,AE,AED
3,AF,AFN
4,AG,XCD
5,AI,XCD
6,AL,ALL
7,AM,AMD
8,AN,ANG
9,AO,AOA
10,AQ,AQD
11,AR,ARS
12,AS,EUR
13,AT,EUR
14,AU,AUD
15,AW,ANG
16,AX,EUR
17,AZ,AZN
18,BA,BAM
19,BB,BBD
20,BD,BDT
21,BE,EUR
22,BF,XOF
23,BG,BGN
24,BH,BHD
25,BI,BIF
26,BJ,XOF
27,BL,EUR
28,BM,BMD
29,BN,BND
30,BO,BOB
31,BR,BRL
32,BS,BSD
33,BT,INR
34,BV,NOK
35,BW,BWP
36,BY,BYR
37,BZ,BZD
38,CA,CAD
39,CC,AUD
40,CD,CDF
41,CF,XAF
42,CG,XAF
43,CH,CHF
44,CI,XOF
45,CK,NZD
46,CL,CLP
47,CM,XAF
48,CN,CNY
49,CO,COP
50,CR,CRC
51,CU,CUP
52,CV,CVE
53,CX,AUD
54,CY,CYP
55,CZ,CZK
56,DE,EUR
57,DJ,DJF
58,DK,DKK
59,DM,XCD
60,DO,DOP
61,DZ,DZD
62,EC,ECS
63,EE,EEK
64,EG,EGP
65,EH,MAD
66,ER,ETB
67,ES,EUR
68,ET,ETB
69,FI,EUR
70,FJ,FJD
71,FK,FKP
72,FM,USD
73,FO,DKK
74,FR,EUR
75,GA,XAF
76,GB,GBP
77,GD,XCD
78,GE,GEL
79,GF,EUR
80,GG,GGP
81,GH,GHS
82,GI,GIP
83,GL,DKK
84,GM,GMD
85,GN,GNF
86,GP,EUR
87,GQ,XAF
88,GR,EUR
89,GS,GBP
90,GT,GTQ
91,GU,USD
92,GW,XOF
93,GY,GYD
94,HK,HKD
95,HM,AUD
96,HN,HNL
97,HR,HRK
98,HT,HTG
99,HU,HUF
100,ID,IDR
101,IE,EUR
102,IL,ILS
103,IM,GBP
104,IN,INR
105,IO,USD
106,IQ,IQD
107,IR,IRR
108,IS,ISK
109,IT,EUR
110,JE,GBP
111,JM,JMD
112,JO,JOD
113,JP,JPY
114,KE,KES
115,KG,KGS
116,KH,KHR
117,KI,AUD
118,KM,KMF
119,KN,XCD
120,KP,KPW
121,KR,KRW
122,KW,KWD
123,KY,KYD
124,KZ,KZT
125,LA,LAK
126,LB,LBP
127,LC,XCD
128,LI,CHF
129,LK,LKR
130,LR,LRD
131,LS,LSL
132,LT,LTL
133,LU,EUR
134,LV,LVL
135,LY,LYD
136,MA,MAD
137,MC,EUR
138,MD,MDL
139,ME,EUR
140,MF,ANG
141,MG,MGA
142,MH,USD
143,MK,MKD
144,ML,XOF
145,MM,MMK
146,MN,MNT
147,MO,MOP
148,MP,USD
149,MQ,EUR
150,MR,MRO
151,MS,XCD
152,MT,MTL
153,MU,MUR
154,MV,MVR
155,MW,MWK
156,MX,MXN
157,MY,MYR
158,MZ,MZN
159,NA,NAD
160,NC,XPF
161,NE,XOF
162,NF,AUD
163,NG,NGN
164,NI,NIO
165,NL,EUR
166,NO,NOK
167,NP,NPR
168,NR,AUD
169,NU,NZD
170,NZ,NZD
171,OM,OMR
172,PA,PAB
173,PE,PEN
174,PF,XPF
175,PG,PGK
176,PH,PHP
177,PK,PKR
178,PL,PLN
179,PM,EUR
180,PN,NZD
181,PR,USD
182,PS,JOD
183,PT,EUR
184,PW,USD
185,PY,PYG
186,QA,QAR
187,RE,EUR
188,RO,RON
189,RS,RSD
190,RU,RUB
191,RW,RWF
192,SA,SAR
193,SB,SBD
194,SC,SCR
195,SD,SDG
196,SE,SEK
197,SG,SGD
198,SH,GBP
199,SI,EUR
200,SJ,NOK
201,SK,SKK
202,SL,SLL
203,SM,EUR
204,SN,XOF
205,SO,SOS
206,SR,SRD
207,ST,STD
208,SV,SVC
209,SY,SYP
210,SZ,SZL
211,TC,USD
212,TD,XAF
213,TF,EUR
214,TG,XOF
215,TH,THB
216,TJ,TJS
217,TK,NZD
218,TM,TMT
219,TN,TND
220,TO,TOP
221,TP,IDR
222,TR,TRY
223,TT,TTD
224,TV,AUD
225,TW,TWD
226,TZ,TZS
227,UA,UAH
228,UG,UGX
229,UM,USD
230,US,USD
231,UY,UYU
232,UZ,UZS
233,VA,EUR
234,VC,XCD
235,VE,VEF
236,VG,USD
237,VI,USD
238,VN,VND
239,VU,VUV
240,WF,XPF
241,WS,EUR
242,YE,YER
243,YT,EUR
244,ZA,ZAR
245,ZM,ZMK
246,ZW,ZWD
